Record Date,Security Type Description,Security Class Description,Debt Held by the Public (in Millions),Intragovernmental Holdings (in Millions),Total Public Debt Outstanding (in Millions),Source Line Number,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
2022/5/31,Nonmarketable,United States Savings Securities,157698.3913,0,157698.3913,11,2022,3,2022,2,5,31
2022/6/30,Nonmarketable,United States Savings Securities,160439.8569,0,160439.8569,11,2022,3,2022,2,6,30
2022/7/31,Nonmarketable,United States Savings Securities,162521.9699,0,162521.9699,11,2022,4,2022,3,7,31
2022/8/31,Nonmarketable,United States Savings Securities,164355.2943,0,164355.2943,11,2022,4,2022,3,8,31
2022/9/30,Nonmarketable,United States Savings Securities,166292.4312,0,166292.4312,11,2022,4,2022,3,9,30
2022/10/31,Nonmarketable,United States Savings Securities,172555.84,0,172555.84,11,2023,1,2022,4,10,31
2022/11/30,Nonmarketable,United States Savings Securities,173217.6413,0,173217.6413,11,2023,1,2022,4,11,30
2022/12/31,Nonmarketable,United States Savings Securities,173499.8057,0,173499.8057,11,2023,1,2022,4,12,31
2023/1/31,Nonmarketable,United States Savings Securities,176464.975,0,176464.975,11,2023,2,2023,1,1,31
2023/2/28,Nonmarketable,United States Savings Securities,177113.7872,0,177113.7872,11,2023,2,2023,1,2,28
2023/3/31,Nonmarketable,United States Savings Securities,177841.0264,0,177841.0264,11,2023,2,2023,1,3,31
2023/4/30,Nonmarketable,United States Savings Securities,178861.9583,0,178861.9583,10,2023,3,2023,2,4,30
2023/5/31,Nonmarketable,United States Savings Securities,178582.1075,0,178582.1075,10,2023,3,2023,2,5,31
2023/6/30,Nonmarketable,United States Savings Securities,178253.3667,0,178253.3667,10,2023,3,2023,2,6,30
2023/7/31,Nonmarketable,United States Savings Securities,177725.0661,0,177725.0661,10,2023,4,2023,3,7,31
2023/8/31,Nonmarketable,United States Savings Securities,176640.5119,0,176640.5119,10,2023,4,2023,3,8,31
2023/9/30,Nonmarketable,United States Savings Securities,175702.23,0,175702.23,10,2023,4,2023,3,9,30
2023/10/31,Nonmarketable,United States Savings Securities,174128.1021,0,174128.1021,10,2024,1,2023,4,10,31
