Date,high,low,close,volume,Monthly Open,,,,,,,,,,,,,,,,,,,,,Principal Amount Increase,Net Unamortized Amount Increase
,,,,,,,,,,,,,,,,,,,,,,,,,,1016694,-4100
,,,,,,,,,,,,,,,,,,,,,,,,,,986097,-4065
,,,,,,,,,,,,,,,,,,,,,,,,,,1347942,1897
,,,,,,,,,,,,,,,,,,,,,,,,,,2506237,3744
,,,,,,,,,,,,,,,,,,,,,,,,,,2132674,-1265
,,,,,,,,,,,,,,,,,,,,,,,,,,2486005,-3364
,,,,,,,,,,,,,,,,,,,,,,,,,,1868177,329
,,,,,,,,,,,,,,,,,,,,,,,,,,1665397,-471
,,,,,,,,,,,,,,,,,,,,,,,,,,1588319,-911
,,,,,,,,,,,,,,,,,,,,,,,,,,1919413,-2059
,,,,,,,,,,,,,,,,,,,,,,,,,,1992153,-343
,,,,,,,,,,,,,,,,,,,,,,,,,,1412538,-1084
,,,,,,,,,,,,,,,,,,,,,,,,,,1651042,-2020
,,,,,,,,,,,,,,,,,,,,,,,,,,1866812,-6446
,,,,,,,,,,,,,,,,,,,,,,,,,,1797718,-4874
,,,,,,,,,,,,,,,,,,,,,,,,,,1428315,395
,,,,,,,,,,,,,,,,,,,,,,,,,,1974837,2473
,,,,,,,,,,,,,,,,,,,,,,,,,,1473336,5011
,,,,,,,,,,,,,,,,,,,,,,,,,,1910648,-209
,,,,,,,,,,,,,,,,,,,,,,,,,,1371665,141
,,,,,,,,,,,,,,,,,,,,,,,,,,1770103,-2384
,,,,,,,,,,,,,,,,,,,,,,,,,,1838257,69
,,,,,,,,,,,,,,,,,,,,,,,,,,1496458,-3237
,,,,,,,,,,,,,,,,,,,,,,,,,,1514183,-3173
,,,,,,,,,,,,,,,,,,,,,,,,,,1604221,-3544
,,,,,,,,,,,,,,,,,,,,,,,,,,1074497,-8813
,,,,,,,,,,,,,,,,,,,,,,,,,,1585414,-7989
,,,,,,,,,,,,,,,,,,,,,,,,,,1260028,-8285
,,,,,,,,,,,,,,,,,,,,,,,,,,1079881,-8236
,,,,,,,,,,,,,,,,,,,,,,,,,,1803202,-12675
,,,,,,,,,,,,,,,,,,,,,,,,,,1330585,-19138
,,,,,,,,,,,,,,,,,,,,,,,,,,1638950,-16499
,,,,,,,,,,,,,,,,,,,,,,,,,,1269824,-13193
,,,,,,,,,,,,,,,,,,,,,,,,,,1774182,-13074
,,,,,,,,,,,,,,,,,,,,,,,,,,1593785,-17072
,,,,,,,,,,,,,,,,,,,,,,,,,,1591845,-18797
,,,,,,,,,,,,,,,,,,,,,,,,,,1222791,-14833
,,,,,,,,,,,,,,,,,,,,,,,,,,1908861,-22265
,,,,,,,,,,,,,,,,,,,,,,,,,,1938055,-25961
,,,,,,,,,,,,,,,,,,,,,,,,,,1758298,-23047
